----------------------------------------------------------------------
SPECTRUM: CWW_E_ext
FILTER:        SDSS r + CCD, [MT]  no atmosphere (Ref. F. Castander)
rv.020      1.38100     0.340968
rv.019      1.45500     0.321060
rv.018      1.53200     0.299940
rv.017      1.61300     0.277806
rv.016      1.69700     0.255464
rv.015      1.78500     0.233126
rv.014      1.87600     0.211758
rv.013      1.97000     0.192054
rv.012      2.06800     0.174667
rv.011      2.17500     0.159866
rv.010      2.28600     0.149575
rv.009      2.39700     0.144321
rv.008      2.51800     0.143790
rv.007      2.64500     0.147942
rv.006      2.77600     0.155025
rv.005      2.91700     0.159620
rv.004      3.06500     0.159902
rv.003      3.22800     0.136461
rv.002      3.38400     0.108884
rv.001      3.56800    0.0970872

